院校代码,学校名,所在地,城市,办学性质,学校类型,标签,科目,批次,人数,2022分数,2021分数,2020分数,2022最低位次,2021最低位次,2020最低位次
2664,清华大学,北京,北京,公立,综合,"双一流,985,211",理,本科一批,51,687,692,696,69,81,78
1053,北京大学,北京,北京,公立,综合,"双一流,985,211",理,本科一批,21,685,694,698,82,58,56
2885,上海交通大学(其他类),上海,上海,公立,综合,"双一流,985,211",理,本科一批,6,683,,,103,,
1430,复旦大学,上海,上海,公立,综合,"双一流,985,211",理,本科一批,15,677,682,691,178,224,150
1432,复旦大学上海医学院(医学试验班),上海,上海,公立,医药,国家重点,理,本科一批,3,675,597,,210,15342,
2886,上海交通大学医学院,上海,上海,公立,医药,国家重点,理,本科一批,4,673,680,684,253,282,338
2885,上海交通大学,上海,上海,公立,综合,"双一流,985,211",理,本科一批,51,672,680,693,280,282,123
3590,浙江大学,浙江,杭州,公立,综合,"双一流,985,211",理,本科一批,15,672,677,686,265,391,268
1054,北京大学医学部,北京,北京,公立,医药,"国家重点,双万计划",理,本科一批,25,668,675,683,392,481,365
1430,复旦大学(试验班),上海,上海,公立,综合,"双一流,985,211",理,本科一批,35,667,675,,434,481,
3690,中国科学技术大学,安徽,合肥,公立,理工,"双一流,985,211",理,本科一批,180,662,671,682,622,614,398
2484,南京大学,江苏,南京,公立,综合,"双一流,985,211",理,本科一批,63,660,669,677,709,709,653
3591,浙江大学医学院,浙江,杭州,公立,医药,国家重点,理,本科一批,12,657,665,677,827,943,653
3700,中国人民大学,北京,北京,公立,综合,"双一流,985,211",理,本科一批,35,657,666,674,834,879,843
2885,上海交通大学(自然科学类),上海,上海,公立,综合,"双一流,985,211",理,本科一批,20,656,665,,921,943,
1066,北京航空航天大学,北京,北京,公立,理工,"双一流,985,211",理,本科一批,115,655,662,671,977,1142,1129
2886,上海交通大学医学院(医学试验班),上海,上海,公立,医药,国家重点,理,本科一批,19,655,652,,984,2075,
1689,哈尔滨工业大学(深圳),广东,深圳,公立,理工,"985,211,国家重点",理,本科一批,50,651,659,668,1225,1390,1407
1087,北京理工大学,北京,北京,公立,理工,"双一流,985,211",理,本科一批,61,648,654,662,1477,1867,2104
2885,上海交通大学(核工程类),上海,上海,公立,综合,"双一流,985,211",理,本科一批,9,647,623,,1535,7034,
3288,西安交通大学,陕西,西安,公立,综合,"双一流,985,211",理,本科一批,61,645,651,666,1716,2191,1638
3590,浙江大学(中外合作),浙江,杭州,公立,综合,"双一流,985,211",理,本科一批,5,644,648,667,1780,2542,1526
2062,华中科技大学,湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,155,643,653,660,1923,1973,2389
3166,同济大学(医学实验班),上海,上海,公立,综合,"双一流,985,211",理,本科一批,10,643,652,,1907,2075,
3222,武汉大学,湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,144,643,651,659,1909,2191,2544
2664,清华大学,北京,北京,公立,综合,"双一流,985,211",文,本科一批,2,642,680,654,12,35,34以内
1688,哈尔滨工业大学,黑龙江,哈尔滨,公立,理工,"双一流,985,211",理,本科一批,83,640,648,658,2161,2542,2726
1375,东南大学,江苏,南京,公立,综合,"双一流,985,211",理,本科一批,207,639,647,657,2339,2664,2905
3166,同济大学(中外合作),上海,上海,公立,综合,"双一流,985,211",理,本科一批,6,639,649,660,2342,2413,2389
1087,北京理工大学(理科试验班),北京,北京,公立,理工,"双一流,985,211",理,本科一批,32,638,645,,2431,2937,
2521,南开大学,天津,天津,公立,综合,"双一流,985,211",理,本科一批,80,638,648,657,2475,2542,2905
1053,北京大学,北京,北京,公立,综合,"双一流,985,211",文,本科一批,18,637,674,648,21,35,34以内
1432,复旦大学上海医学院,上海,上海,公立,医药,国家重点,理,本科一批,28,636,676,686,2754,432,268
3166,同济大学,上海,上海,公立,综合,"双一流,985,211",理,本科一批,133,636,660,669,2611,1311,1322
1357,电子科技大学,四川,成都,公立,理工,"双一流,985,211",理,本科一批,170,634,643,654,3024,3191,3406
2982,首都医科大学,北京,北京,公立,医药,"省重点,保研资格,卓越医生",理,本科一批,10,634,640,656,2980,3643,3066
1096,北京师范大学,北京,北京,公立,师范,"双一流,985,211",理,本科一批,22,633,646,659,3036,2804,2479
2055,华东师范大学,上海,上海,公立,师范,"双一流,985,211",理,本科一批,61,633,647,655,3089,2664,3235
1430,复旦大学,上海,上海,公立,综合,"双一流,985,211",文,本科一批,11,630,665,642,49,57,57
3113,天津大学,天津,天津,公立,理工,"双一流,985,211",理,本科一批,149,630,642,656,3541,3372,3066
3352,厦门大学,福建,厦门,公立,综合,"双一流,985,211",理,本科一批,99,630,642,651,3607,3372,3995
3721,中山大学,广东,广州,公立,综合,"双一流,985,211",理,本科一批,115,630,636,651,3590,4286,3995
2885,上海交通大学,上海,上海,公立,综合,"双一流,985,211",文,本科一批,1,628,663,641,58,75,64
1114,北京邮电大学,北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,109,627,637,650,3999,4112,4188
3317,西北工业大学,陕西,西安,公立,理工,"双一流,985,211",理,本科一批,175,627,634,647,4072,4645,4816
1430,复旦大学(试验班),上海,上海,公立,综合,"双一流,985,211",文,本科一批,7,626,663,,74,75,
2057,华南理工大学,广东,广州,公立,综合,"双一流,985,211",理,本科一批,94,625,638,648,4504,3973,4600
2859,上海财经大学,上海,上海,公立,财经,"双一流,211,国家重点",理,本科一批,44,625,639,661,4396,3822,2247
3701,中国人民大学(苏州校区),江苏,苏州,中外合作办学,综合,"985,211,国家重点",理,本科一批,5,625,636,651,4445,4286,3995
1690,哈尔滨工业大学(威海),山东,威海,公立,理工,"985,211,国家重点",理,本科一批,107,623,633,644,4805,4864,5499
2711,山东大学,山东,济南,公立,综合,"双一流,985,211",理,本科一批,188,623,630,643,4841,5452,5737
3352,厦门大学(医学类),福建,厦门,公立,综合,"双一流,985,211",理,本科一批,17,623,629,641,4754,5662,6240
2062,华中科技大学(其他类),湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,15,622,,,4949,,
1375,东南大学(工商管理类),江苏,南京,公立,综合,"双一流,985,211",理,本科一批,20,621,,,5312,,
3590,浙江大学(应用生物科学),浙江,杭州,公立,综合,"双一流,985,211",理,本科一批,27,621,618,,5309,8322,
3700,中国人民大学,北京,北京,公立,综合,"双一流,985,211",文,本科一批,35,621,660,638,123,114,98
3590,浙江大学,浙江,杭州,公立,综合,"双一流,985,211",文,本科一批,14,620,658,637,138,149,113
1379,对外经济贸易大学,北京,北京,公立,财经,"双一流,211,中央部属",理,本科一批,31,618,635,647,5886,4446,4816
2484,南京大学,江苏,南京,公立,综合,"双一流,985,211",文,本科一批,23,618,658,635,152,149,129
3591,浙江大学医学院(中外合作),浙江,杭州,公立,医药,国家重点,理,本科一批,4,618,626,643,5964,6339,5737
3724,中央财经大学,北京,北京,公立,财经,"双一流,211,国家重点",理,本科一批,50,618,629,644,5908,5662,5499
1097,北京师范大学(珠海校区),广东,珠海,公立,师范,"985,211,国家重点",理,本科一批,6,617,,637,6081,,7311
3222,武汉大学(医护类),湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,8,617,629,642,6016,5662,5996
3273,西安电子科技大学,陕西,西安,公立,理工,"双一流,211,国家重点",理,本科一批,195,617,625,639,6039,6579,6770
1245,重庆大学,重庆,重庆,公立,综合,"双一流,985,211",理,本科一批,169,616,627,642,6372,6101,5996
1967,湖南大学,湖南,长沙,公立,综合,"双一流,985,211",理,本科一批,131,616,628,641,6265,5888,6240
1326,大连理工大学,辽宁,大连,公立,理工,"双一流,985,211",理,本科一批,157,615,625,638,6637,6579,7037
3222,武汉大学(中外合作),湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,5,615,626,643,6628,6339,5737
2489,南京航空航天大学,江苏,南京,公立,理工,"双一流,211,中央部属",理,本科一批,229,614,621,636,6908,7501,7591
3714,中国政法大学,北京,北京,公立,政法,"双一流,211,国家重点",理,本科一批,37,614,621,641,6759,7501,6240
1358,电子科技大学(沙河校区)(中外合作),四川,成都,公立,理工,"985,211,国家重点",理,本科一批,33,613,623,640,6975,7034,6498
2712,山东大学(威海),山东,威海,公立,综合,"985,211,国家重点",理,本科一批,52,613,620,635,6967,7740,7783
1358,电子科技大学(沙河校区),四川,成都,公立,理工,"985,211,国家重点",理,本科一批,57,612,638,650,7345,3973,4188
2907,上海外国语大学,上海,上海,公立,语言,"双一流,211,国家重点",理,本科一批,17,612,621,637,7257,7501,7311
